Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
CZBTZBBBQGIOGA-LILDFLRNNA-N,CHEMBL65038,1956,A,7.82,chembl20,66586,9606,EGFR,1260,C=1(N(=O)=O)C=C2C(=NC=NC2=CC1OC)NC=3C=C(Br)C=CC3
CZDUJGOCEPWCNA-UHFFFAOYNA-N,CHEMBL266325,1956,N,4.6,chembl20,887868,9606,EGFR,1260,C=1(NC2=CC=C(OC(=O)CCC)C=C2C1)C(C=3NC=4C=CC=CC4C3)=O
CZGMEOAMQWAJOY-MPIMZMORNA-N,CHEMBL201511,1956,A,5.6,chembl20,333595,9606,EGFR,1260,C=1C=CC=2NC=C(C=3C(NC(C3C4=CC(=C(C(=C4)OC)OC)OC)=O)=O)C2C1
CZIGMBNEFWBEMD-RLKILGABNA-N,CHEMBL1990482,1956,A,5.7,chembl20,809214,9606,EGFR,1260,O=C(N)C1=C2NC(=NC2=CC=C1)C=3C=CN=CC3
CZKBXLQQQYAVOU-LNNLXFCONA-N,CHEMBL2333992,1956,N,4.95,chembl20,942124,9606,EGFR,1260,O(C)C=1C=C2C(=NC=NC2=CC1OC)NC3=CC=C(C=C3)C4=CC=CC=C4
CZMCXMIIVHUIPE-GPQMBLKYNA-N,CHEMBL93032,1956,A,9.77,chembl20,66586,9606,EGFR,1260,C1=2C(=NC=NC1=CC(=C(C2)O)O)NC=3C=C(Br)C=CC3
CZOUTEDNZRYTGU-HPHMPNDVNA-N,CHEMBL429057,1956,A,5.96,chembl20,64440,9606,EGFR,1260,N1=CN=C2N(C=C(C=3C=CC=CC3)C2=C1N)C4=CC=CC=C4CO
CZQHHVNHHHRRDU-UHFFFAOYNA-N,CHEMBL98350,1956,N,4.6,chembl20,887868,9606,EGFR,1260,N1(CCOCC1)C=2OC3=C(C=CC=C3C4=CC=CC=C4)C(C2)=O
CZQVOIDVDAVDFW-HQOSXFPVNA-N,CHEMBL1998112,1956,A,5.7,chembl20,809214,9606,EGFR,1260,O(C1=CC(C=2N=C(N3C(=NC=C3)C2)NC4=C(C(=O)N)C=CC=C4)=CC=C1OC)C
DAMRZPASBIZHRF-DWDCQEQTNA-N,CHEMBL403357,1956,A,6.57,chembl20,479448,9606,EGFR,1260,C=1(NC2=CC=C3C(C=NN3CC4=CC(=CC=C4)OC)=C2)C(/C=N/OC)=C(N)N=CN1
